,Town,Population,Size
0,Kexby,337,Other
1,Bradfield Heath,831,Other
2,Huntley,1131,Other
3,Swinefleet,770,Other
4,Foulsham,965,Other
5,Easton (South Norfolk),1606,Other
6,Carlton in Lindrick,5454,Other
7,Shrewton,1652,Other
8,Maiden Newton,1297,Other
9,Normanton on Soar,419,Other
10,Warton,1455,Other
11,Hartland,1018,Other
12,Buntingsdale,776,Other
13,Nonington,320,Other
14,Madeley Park,262,Other
15,Dorchester (West Dorset),21438,Other
16,Sayers Common,883,Other
17,Dinghurst,284,Other
18,Hartnoll,278,Other
19,Ely,20330,Other
20,Gilmorton,1025,Other
21,Huttoft,596,Other
22,West Chinnock,556,Other
23,Great Tey,582,Other
24,Little Addington,339,Other
25,Market Weighton,7332,Other
26,Downham Market,11910,Other
27,Kingston St Mary,412,Other
28,Orlingbury,462,Other
29,Rode,1026,Other
30,Upper Denby,693,Other
31,Shilton,236,Other
32,Witcham,407,Other
33,Read,2684,Other
34,Salford Priors,757,Other
35,Hyde Heath,1021,Other
36,Padstow,2283,Other
37,Willoughby (East Lindsey),368,Other
38,Penrith,15880,Other
39,Winterborne Whitechurch,732,Other
40,Bloxham,3910,Other
41,Stonebridge,252,Other
42,Lyng,865,Other
43,Pawlett,998,Other
44,Ealand,941,Other
45,Husthwaite,405,Other
46,Brough (Eden),774,Other
47,Bolsover,11996,Other
48,Cambridge (Stroud),482,Other
49,Witton-le-Wear,581,Other
50,Moreton on Lugg,1007,Other
51,Buntingford,6583,Other
52,Low Fulney,542,Other
53,Felmersham,387,Other
54,March,21768,Other
55,Southam,7098,Other
56,Marston,378,Other
57,Grimethorpe,5105,Other
58,Easington (East Riding of Yorkshire),671,Other
59,Chudleigh,4349,Other
60,Slad,381,Other
61,Catterick,3115,Other
62,Great Oakley,675,Other
63,Hemswell,388,Other
64,Axtown,283,Other
65,Moor Row,775,Other
66,Royston,17042,Other
67,Studley,6248,Other
68,Wheatley Hill,3046,Other
69,Fleckney,4854,Other
70,Tickenham,552,Other
71,Byers Green,834,Other
72,Whitwell (Bolsover),3749,Other
73,Kingsbury,3596,Other
74,Hazelbury Bryan,412,Other
75,Weston (North Hertfordshire),873,Other
76,Belbroughton,1398,Other
77,North Creake,363,Other
78,Simister,650,Other
79,Tempsford,614,Other
80,Ludgershall (Wiltshire),4991,Other
81,Droxford,678,Other
82,Willingham by Stow,568,Other
83,Barnoldby le Beck,408,Other
84,West Ashling,324,Other
85,Irthlingborough,8142,Other
86,Galhampton,316,Other
87,Manea,2373,Other
88,West Hanningfield,402,Other
89,Halberton,902,Other
90,Runcton Holme,657,Other
91,Ryhall,1481,Other
92,Cuxton,4697,Other
93,Twyford (Melton),352,Other
94,Hartest,491,Other
95,Stoke Goldington,538,Other
96,Wateringbury,2254,Other
97,Over Kellet,538,Other
98,Little Wymondley,1014,Other
99,Moira,2744,Other
100,Drayton (South Somerset),352,Other
101,Mellis,550,Other
102,Market Bosworth,2270,Other
103,Ashill,1219,Other
104,Rode Heath,1899,Other
105,Thurton,886,Other
106,Hail Weston,589,Other
107,Twigworth,764,Other
108,Freshwater,7928,Other
109,Hardwick (South Norfolk),279,Other
110,Waresley,272,Other
111,Gweek,686,Other
112,Crick,2427,Other
113,Wrestlingworth,595,Other
114,Barnoldswick,10362,Other
115,Rackheath Industrial Estate,393,Other
116,Lutton,723,Other
117,Seahouses,1844,Other
118,Billinghay,2224,Other
119,Hollinfare,1034,Other
120,Potterhanworth,863,Other
121,Wheathampstead,4399,Other
122,Winfarthing,498,Other
123,Aberford,1465,Other
124,Northiam,1960,Other
125,Hawkesbury Upton,985,Other
126,Wedmore,1391,Other
127,High Bickington,944,Other
128,Carlton-on-Trent,218,Other
129,Ropley,492,Other
130,University of Sussex,4091,Other
131,Wetheringsett,355,Other
132,Burchett's Green,312,Other
133,Stevington,552,Other
134,Grange-over-Sands,5022,Other
135,Riding Mill,979,Other
136,Ashton under Hill,815,Other
137,Osmotherley,703,Other
138,Friskney Eaudyke,642,Other
139,Cranborne,595,Other
140,Preston (North Hertfordshire),441,Other
141,Theale,366,Other
142,Old Stratford,2339,Other
143,Cublington,336,Other
144,Rudston,405,Other
145,Bury,376,Other
146,Cropredy,689,Other
147,Aldbourne,1692,Other
148,Shipham,1204,Other
149,Middleton Cheney,4068,Other
150,Tarporley,2992,Other
151,Cleeve,735,Other
