,Area,mnemonic,2011,2012,2013,2014,2015,2016,2017,2018,2019,Size,Latitude,Longitude,Convenience Store,Supermarket
0,Dorchester (West Dorset),E34000016,19031,19152,19521,19633,19750,20254,20633,21082,21438,Small Town,50.710920000000044,-2.4423399999999447,1,2
1,Ely,E34000020,19270,19591,19543,19948,20053,20144,20255,20321,20330,Small Town,52.401370000000036,0.2637000000000285,1,2
2,Downham Market,E34000027,10882,10974,11192,11349,11650,11841,11937,11871,11910,Small Town,52.602360000000026,0.37877000000003136,0,2
3,Penrith,E34000039,15172,15232,15267,15287,15324,15376,15494,15542,15880,Small Town,54.66475000000002,-2.7569299999999544,0,4
4,Bolsover,E34000048,11767,12002,12042,12104,12052,12019,12014,11984,11996,Small Town,53.229250000000036,-1.2907199999999648,0,1
5,March,E34000055,21078,21084,21174,21300,21426,21489,21669,21797,21768,Small Town,52.55128000000008,0.0885000000000673,0,2
6,Royston,E34000067,15859,15896,16036,16308,16409,16625,16911,16949,17042,Small Town,52.048250000000046,-0.021399999999971442,0,1
7,Freshwater,E34000109,7832,7870,7770,7741,7730,7799,7827,7938,7928,Small Town,50.68264000000005,-1.5251399999999649,1,0
8,Bedlington,E34000174,16943,16967,16957,16894,16829,16831,16987,16963,17081,Small Town,55.130420000000065,-1.5926699999999414,0,4
9,New Addington,E34000214,22325,22751,22693,22592,22770,22987,23086,23035,22843,Small Town,51.34124000000003,-0.01536999999996169,0,5
10,Seaford,E34000231,22556,22654,22963,23236,23348,23574,23463,23503,23601,Small Town,50.77301000000006,0.101820000000032,0,1
11,Great Dunmow,E34000250,7767,7906,8043,8206,8258,8429,8493,8564,9006,Small Town,51.87107000000003,0.3639300000000389,0,1
12,Frodsham,E34000273,9031,9108,9105,9147,9253,9262,9227,9202,9074,Small Town,53.296550000000074,-2.7248799999999287,1,1
13,Rothwell,E34000278,7706,7706,7792,7874,7938,8117,8169,8204,8213,Small Town,52.42234000000008,-0.8031299999999533,0,1
14,Chard,E34000290,13116,13163,13362,13415,13611,13722,13784,13868,13873,Small Town,50.87366000000003,-2.9600599999999417,0,3
15,Hook (Hart),E34000306,7945,7949,7883,7984,7993,8071,8057,8019,8205,Small Town,51.281610000000065,-0.9652899999999248,0,1
16,Rainworth,E34000310,7697,7682,7779,7862,8012,8030,8108,8197,8252,Small Town,53.118300000000026,-1.1186999999999327,0,1
17,Beverley,E34000313,30621,30553,30609,30750,30587,30779,30964,31116,31130,Medium Town,53.84297000000004,-0.4326999999999544,1,4
18,Haverhill,E34000327,27145,27072,27201,27362,27423,27517,27747,27503,27481,Medium Town,52.08513000000005,0.4358100000000604,0,4
19,Exmouth,E34000403,34533,34697,34914,35241,35190,35311,35438,35632,35727,Medium Town,50.619580000000035,-3.413389999999936,0,2
20,Crediton,E34000416,7859,7907,7862,8004,7962,8039,8077,8137,8159,Small Town,50.79083000000003,-3.6613399999999383,0,2
21,Henley-on-Thames,E34000430,11536,11667,11622,11741,11619,11643,11633,11613,11714,Small Town,51.53612000000004,-0.903699999999958,1,1
22,Meltham,E34000458,7828,7875,7950,8031,8008,8051,7971,8040,8179,Small Town,53.59226000000007,-1.8494499999999332,0,1
23,Minehead,E34000469,11923,11880,11746,11817,11910,11908,12043,12014,12087,Small Town,51.20545000000004,-3.4797099999999546,0,3
24,Daventry,E34000473,24031,24160,24137,24250,24465,24840,24983,25464,25781,Medium Town,52.260530000000074,-1.1617799999999647,1,2
25,Deal,E34000490,30520,30543,30762,30669,30866,31275,31639,31757,31963,Medium Town,51.223160000000064,1.403060000000039,0,1
26,Hythe,E34000499,20250,20286,20346,20324,20336,20434,20454,20408,20402,Small Town,50.86749000000003,-1.4042599999999652,1,2
27,Market Deeping,E34000508,13586,13745,13907,13828,14079,14348,14398,14343,14306,Small Town,52.679230000000075,-0.320829999999944,0,1
28,Glastonbury,E34000521,8463,8562,8534,8598,8706,8660,8681,8755,8783,Small Town,51.147700000000036,-2.7165099999999707,0,3
29,Witham,E34000527,25414,25575,25938,25919,26104,26491,26633,26691,26951,Medium Town,51.80099000000007,0.6396400000000426,0,5
30,Gerrards Cross,E34000567,20616,20457,20421,20557,20630,20835,21004,21194,21405,Small Town,51.57897000000003,-0.5625699999999371,1,1
31,Ulverston,E34000573,11357,11320,11332,11433,11476,11412,11358,11311,11385,Small Town,54.19715000000008,-3.1019399999999564,0,1
32,Chapeltown,E34000574,23018,22936,22802,22806,22747,22723,22649,22492,22213,Small Town,54.283330000000035,-5.5833299999999335,0,2
33,Hornsea,E34000589,8414,8517,8589,8550,8580,8652,8704,8807,8793,Small Town,53.90839000000005,-0.17188999999996213,0,1
34,Maghull,E34000628,27005,26931,26695,26542,26366,26376,25736,25737,25877,Medium Town,53.51586000000003,-2.944139999999948,0,3
35,Street,E34000656,12915,13159,13295,13501,13396,13638,13702,13923,13782,Small Town,51.12895000000003,-2.7460199999999304,0,2
36,Frome,E34000692,26273,26519,26699,26979,27227,27350,27372,27937,28168,Medium Town,51.228620000000035,-2.317289999999957,0,3
37,Ross-on-Wye,E34000710,10573,10610,10689,10859,11065,11179,11360,11351,11309,Small Town,51.91649000000007,-2.5817199999999616,0,3
38,Storrington,E34000712,8634,8658,8695,8420,8677,8713,8866,8955,9100,Small Town,50.91781000000003,-0.4538599999999633,1,1
39,Alnwick,E34000732,8133,8193,8156,8048,8054,8060,8086,7995,7978,Small Town,55.412540000000035,-1.7035399999999754,0,4
40,Hailsham,E34000755,20034,20260,20508,20993,21503,21854,22057,22241,22530,Small Town,50.86541000000005,0.2565300000000548,1,2
41,Richmond,E34000762,8397,8381,8355,8420,8419,8420,8400,8369,8378,Small Town,51.462350000000065,-0.30277999999992744,3,2
42,Mablethorpe,E34000776,12505,12339,12380,12346,12384,12372,12577,12628,12633,Small Town,53.340670000000046,0.2581900000000701,0,1
43,Lutterworth,E34000786,9964,9874,10004,10052,10082,10215,10528,10854,10958,Small Town,52.456560000000074,-1.1995899999999438,1,1
44,Sidmouth,E34000796,12539,12735,12839,13089,13174,13221,13179,13277,13280,Small Town,50.68744000000004,-3.2375699999999483,1,1
45,Epping,E34000815,10316,10494,10556,10622,10833,11015,11185,11155,11152,Small Town,51.700060000000065,0.11270000000007485,0,1
46,Torpoint,E34000830,7836,7741,7723,7784,7659,7689,7645,7633,7549,Small Town,50.376040000000046,-4.20799999999997,0,1
47,Hilton (South Derbyshire),E34000839,7766,7879,8015,8172,8189,8224,8333,8469,8588,Small Town,52.87265000000008,-1.6396999999999482,0,1
48,Buckingham,E34000850,12930,12904,12869,13050,13706,14070,14777,15235,15379,Small Town,52.000720000000065,-0.9864899999999466,2,3
49,Brackley,E34000857,13082,13148,13311,13370,13389,13701,14161,14651,15315,Small Town,52.02752000000004,-1.1489499999999566,1,1
50,Paddock Wood,E34000885,7848,7953,8015,7902,7754,7768,7732,7657,7719,Small Town,51.179710000000064,0.39362000000005537,1,0
51,Garforth,E34000891,14789,14875,14861,14788,14828,14833,14752,14584,14464,Small Town,53.79696000000007,-1.3751199999999244,0,2
52,Northallerton,E34000922,16862,16878,17025,16837,16786,16976,17002,17045,17030,Small Town,54.338880000000074,-1.4317499999999654,0,3
53,Hayle,E34000980,8230,8306,8304,8328,8399,8377,8560,8708,8839,Small Town,50.19206000000002,-5.407569999999964,0,1
