,Area,mnemonic,2011,2012,2013,2014,2015,2016,2017,2018,2019,Size,Latitude,Longitude
0,Dorchester (West Dorset),E34000016,19031,19152,19521,19633,19750,20254,20633,21082,21438,Small Town,50.710920,-2.4423399
1,Ely,E34000020,19270,19591,19543,19948,20053,20144,20255,20321,20330,Small Town,52.401370,0.26370000
2,Downham Market,E34000027,10882,10974,11192,11349,11650,11841,11937,11871,11910,Small Town,52.602360,0.37877000
3,Penrith,E34000039,15172,15232,15267,15287,15324,15376,15494,15542,15880,Small Town,54.664750,-2.7569299
4,Bolsover,E34000048,11767,12002,12042,12104,12052,12019,12014,11984,11996,Small Town,53.229250,-1.2907199
5,March,E34000055,21078,21084,21174,21300,21426,21489,21669,21797,21768,Small Town,52.551280,0.08850000
6,Royston,E34000067,15859,15896,16036,16308,16409,16625,16911,16949,17042,Small Town,52.048250,-0.0213999
7,Irthlingborough,E34000086,7523,7576,7642,7803,7915,8101,8130,8109,8142,Small Town,52.325470,-0.6142099
8,Freshwater,E34000109,7832,7870,7770,7741,7730,7799,7827,7938,7928,Small Town,50.682640,-1.5251399
9,Barnoldswick,E34000115,10444,10436,10554,10474,10401,10373,10241,10271,10362,Small Town,53.917550,-2.1882899
10,Bedlington,E34000174,16943,16967,16957,16894,16829,16831,16987,16963,17081,Small Town,55.130420,-1.5926699
11,New Addington,E34000214,22325,22751,22693,22592,22770,22987,23086,23035,22843,Small Town,51.341240,-0.0153699
12,Seaford,E34000231,22556,22654,22963,23236,23348,23574,23463,23503,23601,Small Town,50.773010,0.10182000
13,Great Dunmow,E34000250,7767,7906,8043,8206,8258,8429,8493,8564,9006,Small Town,51.871070,0.36393000
14,Wideopen,E34000271,8967,9059,8998,9066,9233,9337,9467,9659,9815,Small Town,55.047840,-1.6250799
15,Frodsham,E34000273,9031,9108,9105,9147,9253,9262,9227,9202,9074,Small Town,53.296550,-2.7248799
16,Rothwell,E34000278,7706,7706,7792,7874,7938,8117,8169,8204,8213,Small Town,52.422340,-0.8031299
17,Chard,E34000290,13116,13163,13362,13415,13611,13722,13784,13868,13873,Small Town,50.873660,-2.9600599
18,Hook (Hart),E34000306,7945,7949,7883,7984,7993,8071,8057,8019,8205,Small Town,51.281610,-0.9652899
19,Rainworth,E34000310,7697,7682,7779,7862,8012,8030,8108,8197,8252,Small Town,53.118300,-1.1186999
20,Beverley,E34000313,30621,30553,30609,30750,30587,30779,30964,31116,31130,Medium Town,53.842970,-0.4326999
21,Haverhill,E34000327,27145,27072,27201,27362,27423,27517,27747,27503,27481,Medium Town,52.085130,0.43581000
22,Exmouth,E34000403,34533,34697,34914,35241,35190,35311,35438,35632,35727,Medium Town,50.619580,-3.4133899
23,Crediton,E34000416,7859,7907,7862,8004,7962,8039,8077,8137,8159,Small Town,50.790830,-3.6613399
24,Henley-on-Thames,E34000430,11536,11667,11622,11741,11619,11643,11633,11613,11714,Small Town,51.536120,-0.9036999
25,Snodland,E34000440,10271,10537,10670,10800,11090,11438,11551,11736,11873,Small Town,51.327240,0.44619000
26,Meltham,E34000458,7828,7875,7950,8031,8008,8051,7971,8040,8179,Small Town,53.592260,-1.8494499
27,Minehead,E34000469,11923,11880,11746,11817,11910,11908,12043,12014,12087,Small Town,51.205450,-3.4797099
28,Daventry,E34000473,24031,24160,24137,24250,24465,24840,24983,25464,25781,Medium Town,52.260530,-1.1617799
29,Deal,E34000490,30520,30543,30762,30669,30866,31275,31639,31757,31963,Medium Town,51.223160,1.40306000
