,Town,Population,Size,Latitude,Longitude,Supermarkets,7.5km,10km,12.5km,15km
0,Beverley,31130,Medium Town,53.84297,-0.4327,6,63587,64979,371140,398826
1,Haverhill,27481,Medium Town,52.08513,0.43581,4,33321,40492,50490,57629
2,Exmouth,35727,Medium Town,50.61958,-3.41339,3,61193,73052,96789,256096
3,Daventry,25781,Medium Town,52.26053,-1.16178,4,35871,45189,58262,142323
4,Deal,31963,Medium Town,51.22316,1.40306,2,40735,49045,139659,171918
5,Witham,26951,Medium Town,51.80099000000001,0.63964,5,54613,91535,158542,291630
6,Maghull,25877,Medium Town,53.51586,-2.94414,16,178223,203303,841883,1089672
7,Frome,28168,Medium Town,51.22862,-2.3172900000000003,3,33001,86254,159824,191134
8,Portishead,26535,Medium Town,51.47396,-2.76963,11,75598,84518,97311,751596
9,Newport (Isle of Wight),25844,Medium Town,50.7001,-1.29589,9,62446,91406,115867,142766
10,Ashington (Northumberland),28139,Medium Town,55.18354,-1.56941,12,108181,123311,152526,171302
11,Heswall,29436,Medium Town,53.32918000000001,-3.09857,10,118904,293275,972217,1051031
12,Bishop's Stortford,40815,Medium Town,51.87293,0.16161,10,74011,78976,176471,216544
13,Stanford-le-Hope,29004,Medium Town,51.51413,0.41519,6,256388,372171,489870,862499
14,Yeovil,48615,Medium Town,50.9487,-2.63947,5,61488,83099,95808,118071
15,Ormskirk,26262,Medium Town,53.56625,-2.8862400000000004,8,62482,108975,299621,383025
16,Blyth (Northumberland),39535,Medium Town,55.12359,-1.51569,11,143747,184723,218207,377125
17,Huntingdon,26004,Medium Town,52.33523,-0.18936,5,70221,74978,92559,139591
18,Chippenham (Wiltshire),35469,Medium Town,51.46111,-2.11951,5,58404,100518,113511,148916
19,Newton Aycliffe,26116,Medium Town,54.61912,-1.57149,4,46032,108394,218992,257408
20,Lichfield,34169,Medium Town,52.68417,-1.81886,5,78043,112581,269920,521263
21,Barrow-in-Furness,44513,Medium Town,54.11102,-3.22581,5,61806,65896,74202,86150
22,Leighton Buzzard,42573,Medium Town,51.91735,-0.6639,4,55633,69509,171181,288894
23,Fleetwood,25632,Medium Town,53.92135,-3.01441,6,43704,63046,66488,213683
24,Harpenden,31613,Medium Town,51.81634,-0.35665,5,132824,371140,590849,660423
25,Fleet,42262,Medium Town,51.27688,-0.8424200000000001,21,190607,275799,341447,414461
26,Clacton-on-Sea,53768,Medium Town,51.80192,1.15341,9,72996,98806,102494,113455
27,Congleton,26380,Medium Town,53.16411,-2.21182,5,46533,89527,177258,210886
28,Stubbington,25239,Medium Town,50.82892,-1.2171,15,115081,476876,558374,613827
29,Sittingbourne,53554,Medium Town,51.34084,0.7379100000000001,5,66169,69947,108819,236127
30,Thetford,27290,Medium Town,52.41329,0.7407199999999999,6,27290,36633,43712,63522
