,Town,Population,Size,Latitude,Longitude,Supermarkets,7.5km,10km,12.5km,15km,Estimated Requirement
0,Beverley,31130,Medium Town,53.842969999999994,-0.4327,6,63587,64979,371140,398826,-4.695820673754
1,Haverhill,27481,Medium Town,52.08513,0.43581000000000003,4,33321,40492,50490,57629,-1.4401824472890006
2,Exmouth,35727,Medium Town,50.61958,-3.41339,3,61193,73052,96789,256096,-3.1990497301429004
3,Daventry,25781,Medium Town,52.260529999999996,-1.16178,4,35871,45189,58262,142323,-1.5675700047382
4,Deal,31963,Medium Town,51.22316,1.40306,2,40735,49045,139659,171918,-4.9017137275499
5,Witham,26951,Medium Town,51.80099000000001,0.63964,5,54613,91535,158542,291630,-2.2112169760462006
6,Maghull,25877,Medium Town,53.515859999999996,-2.94414,16,178223,203303,841883,1089672,-2.4115696387963013
7,Frome,28168,Medium Town,51.22862,-2.3172900000000003,3,33001,86254,159824,191134,-4.2322296946064
8,Portishead,26535,Medium Town,51.47396,-2.76963,11,75598,84518,97311,751596,4.7923943891329
9,Newport (Isle of Wight),25844,Medium Town,50.7001,-1.29589,9,62446,91406,115867,142766,2.4882508590212993
10,Ashington (Northumberland),28139,Medium Town,55.18354,-1.56941,12,108181,123311,152526,171302,4.8873887297714
11,Heswall,29436,Medium Town,53.32918000000001,-3.09857,10,118904,293275,972217,1051031,-10.547818984213702
12,Bishop's Stortford,40815,Medium Town,51.87293,0.16161,10,74011,78976,176471,216544,2.4949163850569
13,Stanford-le-Hope,29004,Medium Town,51.51413,0.41518999999999995,6,256388,372171,489870,862499,-6.641873774107001
14,Yeovil,48615,Medium Town,50.9487,-2.63947,5,61488,83099,95808,118071,-1.1829705749888006
15,Ormskirk,26262,Medium Town,53.56625,-2.8862400000000004,8,62482,108975,299621,383025,-1.5235830616581012
16,Blyth (Northumberland),39535,Medium Town,55.12359,-1.51569,11,143747,184723,218207,377125,2.8108393009473005
17,Huntingdon,26004,Medium Town,52.335229999999996,-0.18936,5,70221,74978,92559,139591,-1.1297175932399002
18,Chippenham (Wiltshire),35469,Medium Town,51.46111,-2.11951,5,58404,100518,113511,148916,-1.4731329436871006
19,Newton Aycliffe,26116,Medium Town,54.619119999999995,-1.57149,4,46032,108394,218992,257408,-4.202027301291201
20,Lichfield,34169,Medium Town,52.684169999999995,-1.81886,5,78043,112581,269920,521263,-4.036766560912
21,Barrow-in-Furness,44513,Medium Town,54.111019999999996,-3.22581,5,61806,65896,74202,86150,-0.8288357877722001
22,Leighton Buzzard,42573,Medium Town,51.91735,-0.6639,4,55633,69509,171181,288894,-3.4183774673741
23,Fleetwood,25632,Medium Town,53.92135,-3.01441,6,43704,63046,66488,213683,0.2976011162632002
24,Harpenden,31613,Medium Town,51.816340000000004,-0.35665,5,132824,371140,590849,660423,-9.2969777581089
25,Fleet,42262,Medium Town,51.27688,-0.8424200000000001,21,190607,275799,341447,414461,10.790864702383299
26,Clacton-on-Sea,53768,Medium Town,51.80192,1.15341,9,72996,98806,102494,113455,2.7074420332065996
27,Congleton,26380,Medium Town,53.16411,-2.21182,5,46533,89527,177258,210886,-2.5179829983338005
28,Stubbington,25239,Medium Town,50.828920000000004,-1.2171,15,115081,476876,558374,613827,1.2353062007385986
29,Sittingbourne,53554,Medium Town,51.34084,0.7379100000000001,5,66169,69947,108819,236127,-1.3962283606259005
30,Thetford,27290,Medium Town,52.41329,0.7407199999999999,6,27290,36633,43712,63522,0.6709128775168001
31,Hinckley,49741,Medium Town,52.54245,-1.3727200000000002,11,178270,221837,277459,306602,1.8396648858701
32,Stratford-upon-Avon,30543,Medium Town,52.19424,-1.7075200000000001,6,46349,56746,80027,129664,0.07568910644529936
33,Burgess Hill,32495,Medium Town,50.955529999999996,-0.13919,6,97493,105588,367175,435024,-4.6308320395175
34,Spalding,36334,Medium Town,52.78836999999999,-0.15149,5,56462,62648,74010,86333,-0.8256887971609999
35,Brentwood,55285,Medium Town,51.62065,0.30351,5,65765,366799,495346,819275,-7.731628568830601
36,Kirkby,43796,Medium Town,53.099819999999994,-1.24379,14,238382,345613,450173,662965,2.0087829253346996
37,Witney,30518,Medium Town,51.78264,-1.49617,5,59743,72671,84483,113448,-0.9973473006563003
38,Market Harborough,26059,Medium Town,52.479530000000004,-0.92263,5,29047,50828,87686,155621,-1.0498463159046008
39,Evesham,28482,Medium Town,52.091770000000004,-1.94862,5,45055,65086,95761,107630,-1.1822002179121007
40,Canvey Island,38849,Medium Town,51.52041,0.59228,14,149456,341986,562558,608056,0.16672803033619843
41,Great Malvern,38204,Medium Town,52.11143,-2.32993,4,42988,51676,166701,168863,-3.3449476864461003
42,Salisbury,46292,Medium Town,51.06954,-1.8002599999999995,5,60050,65273,81197,97244,-0.9434878675917
43,Skegness,25641,Medium Town,53.14527,0.337,4,28309,31027,32121,33570,-1.1391039549081006
44,Melton Mowbray,27670,Medium Town,52.76644,-0.88981,6,34342,40630,47819,72458,0.6035967814741001
45,Tonbridge,41624,Medium Town,51.20013,0.27649,7,132337,192228,216287,242675,-1.1576907929407003
46,Boston,46092,Medium Town,52.97478,-0.02938,6,55165,61530,65019,72929,0.32167887255409955
47,King's Lynn,48691,Medium Town,52.7573,0.41573000000000004,9,56624,64026,71971,78658,3.2077315875069
48,Haywards Heath,38509,Medium Town,50.99723,-0.10298,5,84654,109494,113697,267042,-1.4761815908417004
49,Bridgwater,44394,Medium Town,51.1276,-3.0137,5,59628,64074,102620,178751,-1.2946231793820004
50,Dover,45013,Medium Town,51.12576,1.31774,5,52796,57973,155148,165397,-2.1555873607627998
51,Barnstaple,32775,Medium Town,51.07844,-4.05579,6,44163,54609,86675,93274,-0.033275443467500665
52,Durham,55507,Medium Town,54.77757,-1.57475,11,104812,223506,271180,434698,1.9425813132019982
53,Redcar,38001,Medium Town,54.61404,-1.0682,4,64696,89206,360234,404596,-6.5170650508074
54,Kidderminster,57929,Medium Town,52.38832,-2.25001,8,95997,99396,193262,356615,0.21970222176179988
55,Chadderton,36208,Medium Town,53.54508000000001,-2.1412299999999997,38,381343,573494,1441696,1607954,9.757149738934395
56,Longbenton,38778,Medium Town,55.01084,-1.5799299999999998,46,578680,833355,858737,1003864,27.3121835916143
57,Bentley,27297,Medium Town,53.548759999999994,-1.14677,15,187283,240814,322319,399677,5.1043836420241
58,Hyde (Tameside),35576,Medium Town,53.44897003,-2.028124897,24,327694,509450,665142,818920,8.485317171693799
59,Urmston,42114,Medium Town,53.44687,-2.3528,45,467172,1077576,1277438,1508039,19.4494329879682
60,Letchworth Garden City,34503,Medium Town,51.980090000000004,-0.22685999999999998,11,107031,213781,247536,274627,2.3301200945103986
61,Chorley,38958,Medium Town,53.65204,-2.63211,17,117303,225184,367306,708298,6.367020795013399
62,Romiley,35329,Medium Town,53.41384,-2.09092,33,324266,569111,642093,1433792,17.863103560222697
63,Ashton-in-Makerfield,28283,Medium Town,53.48333,-2.65,22,367203,382709,746153,855717,5.157500211256696
64,Prescot,38570,Medium Town,53.43026,-2.80301,20,146243,242670,997851,1279020,-0.9679750119611015
65,Morley,29893,Medium Town,53.74434,-1.60535,31,808294,945841,1383001,1440416,3.7191946031238956
66,Aldershot,58511,Medium Town,51.24969,-0.75952,17,221611,273208,341109,487482,6.7964047171051
67,Dunstable,34157,Medium Town,51.88595,-0.52085,18,293058,302731,356977,434737,7.536319055550299
68,Northfleet,30060,Medium Town,51.44629000000001,0.32593,16,255401,307638,354390,991764,5.578721475921
69,Altrincham,56112,Medium Town,53.38671,-2.34918,21,292631,388647,1138251,1320627,-2.269211896401103
70,Bilston,33518,Medium Town,52.56688000000001,-2.07482,42,632170,914317,1082192,1320390,19.649627409188795
71,Winchester,48603,Medium Town,51.06303,-1.31677,5,63778,63778,158515,193619,-2.210774430491501
72,Denton,36089,Medium Town,53.45601,-2.11368,58,424328,1171422,1490093,1750091,28.9638950274227
73,Plymstock,26115,Medium Town,50.35584,-4.08664,13,270231,278830,308432,311672,3.3319995723248006
74,Bedworth,31134,Medium Town,52.478159999999995,-1.47185,21,132543,573166,594218,613534,6.647802391010199
75,Kirkby-in-Ashfield,28650,Medium Town,53.09898000000001,-1.24525,14,241479,364844,451176,659588,1.9923431775063989
